year,dist_name,dist_code,enrollment,size,attendance_rate,reduced_share,free_share,lunch_share,homeless_share,graduation_rate,act_composite,act_writing,local_revenue,all_revenue,tcec,tec,tdc,rev_cost_ratio
2023,Bowler,0623,311,Small,0.92236,0,0.87255,0.87255,0.15756,0.85849,18.29,5.84,NA,NA,NA,NA,NA,NA
2023,Boyceville Community,0637,693,Small,0.94274,0.10345,0.38937,0.49282,0.02597,0.93401,17.83,5.13,NA,NA,NA,NA,NA,NA
2023,Brighton #1,0657,113,Small,0.95529,0.01105,0.20994,0.22099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Brillion,0658,928,Small,0.95574,0.06526,0.23579,0.30105,NA,0.97892,20.05,6.98,NA,NA,NA,NA,NA,NA
2023,Bristol #1,0665,814,Small,0.9448,0.05032,0.16516,0.21548,0.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Brodhead,0700,1017,Medium,0.93627,0.05917,0.36489,0.42406,0.01573,0.96923,18.38,6.76,NA,NA,NA,NA,NA,NA
2023,Elmbrook,0714,7863,Large,0.95913,0.0201,0.08842,0.10853,6.4e-4,0.9901,22.51,6.93,NA,NA,NA,NA,NA,NA
2023,Brown Deer,0721,1647,Medium,0.8975,0.0857,0.52263,0.60833,0.00911,0.95926,17.58,6.08,NA,NA,NA,NA,NA,NA
2023,Bruce,0735,410,Small,0.95424,0,0.75728,0.75728,NA,0.94964,16.73,5.86,NA,NA,NA,NA,NA,NA
2023,Burlington Area,0777,2919,Medium,0.98032,0.06237,0.30021,0.36258,0.01781,0.9375,20.5,6.51,NA,NA,NA,NA,NA,NA
2023,Butternut,0840,188,Small,0.90403,0.07447,0.48936,0.56383,NA,0.94828,17,7.33,NA,NA,NA,NA,NA,NA
2023,Cadott Community,0870,802,Small,0.94154,0.07116,0.41042,0.48158,0.00374,0.93089,17.81,5.61,NA,NA,NA,NA,NA,NA
2023,Cambria-Friesland,0882,313,Small,0.92521,0.0566,0.38275,0.43935,0.00639,0.80374,19,6.74,NA,NA,NA,NA,NA,NA
2023,Cambridge,0896,909,Small,0.9328,0.0349,0.21265,0.24755,0.0198,0.97101,22.21,6.74,NA,NA,NA,NA,NA,NA
2023,Cameron,0903,1187,Medium,0.95236,0.08326,0.32489,0.40814,8.4e-4,0.89552,18.37,6.23,NA,NA,NA,NA,NA,NA
2023,Campbellsport,0910,1318,Medium,0.93837,0.04758,0.24245,0.29003,0.00531,0.9619,20.05,6.57,NA,NA,NA,NA,NA,NA
2023,Cashton,0980,619,Small,0.95208,0.06581,0.33868,0.40449,0.00969,0.9433,18.04,5.67,NA,NA,NA,NA,NA,NA
2023,Cassville,0994,169,Small,0.94214,0.09444,0.36111,0.45556,0.02367,0.97143,18.88,7.19,NA,NA,NA,NA,NA,NA
2023,Cedarburg,1015,3101,Medium,0.94981,0.02054,0.08552,0.10606,6.4e-4,0.99163,24.11,7.86,NA,NA,NA,NA,NA,NA
2023,Cedar Grove-Belgium Area,1029,868,Small,0.95454,0.05436,0.19253,0.24689,0.0023,0.97931,21.32,7.21,NA,NA,NA,NA,NA,NA
2023,Chequamegon,1071,664,Small,0.95285,0.08971,0.49559,0.58529,NA,0.97403,19.44,6.02,NA,NA,NA,NA,NA,NA
2023,Chetek-Weyerhaeuser Area,1080,963,Small,0.92709,0.09185,0.3612,0.45304,0.00623,0.94961,20.17,7.41,NA,NA,NA,NA,NA,NA
2023,Chilton,1085,1082,Medium,0.94463,0.076550000000000007,0.35853,0.43508,0.01109,0.94778,19.38,6.88,NA,NA,NA,NA,NA,NA
2023,Chippewa Falls Area Unified,1092,4634,Medium,0.93868,0.07041,0.33311,0.40352,0.00863,0.96582,18.84,6.22,NA,NA,NA,NA,NA,NA
2023,Clayton,1120,279,Small,0.94334,0,0.68905,0.68905,0.01075,1,19.62,6.19,NA,NA,NA,NA,NA,NA
2023,Clear Lake,1127,541,Small,0.94299,0.09793,0.37476,0.47269,NA,0.97661,19.62,5.85,NA,NA,NA,NA,NA,NA
2023,Clinton Community,1134,1042,Medium,0.94383,0.09153,0.34275,0.43427,0.01823,0.98108,18.93,6.51,NA,NA,NA,NA,NA,NA
2023,Clintonville,1141,1152,Medium,0.92133,0.11246,0.44377,0.55623,0.03819,0.93017,18.75,6.37,NA,NA,NA,NA,NA,NA
2023,Cochrane-Fountain City,1155,544,Small,0.94561,0.07196,0.30443,0.37638,0.01103,1,18.32,6.59,NA,NA,NA,NA,NA,NA
2023,Colby,1162,925,Small,0.93725,0.13487,0.48684,0.62171,0.03784,0.9619,16.64,5.59,NA,NA,NA,NA,NA,NA
2023,Coleman,1169,717,Small,0.9528,0.06181,0.40522,0.46703,0.00837,0.98049,17.82,6.23,NA,NA,NA,NA,NA,NA
2023,Colfax,1176,705,Small,0.94356,0.10587,0.33619,0.44206,0.01135,0.9814,18.55,6.24,NA,NA,NA,NA,NA,NA
2023,Columbus,1183,1130,Medium,0.9494,0.05545,0.27273,0.32818,0.02212,0.94581,20.56,6.88,NA,NA,NA,NA,NA,NA
2023,Cornell,1204,390,Small,0.9909,0.12403,0.5323,0.65633,0.02564,0.94595,17.05,6.14,NA,NA,NA,NA,NA,NA
2023,Crandon,1218,808,Small,0.90468,0,0.78234,0.78234,0.0198,0.94332,18.56,6.29,NA,NA,NA,NA,NA,NA
2023,Crivitz,1232,798,Small,0.95317,0.0725,0.40625,0.47875,0.01128,0.89109,20.44,6.33,NA,NA,NA,NA,NA,NA
2023,Cuba City,1246,675,Small,0.95168,0.0782,0.24962,0.32782,NA,0.99184,20.71,5.73,NA,NA,NA,NA,NA,NA
2023,Cudahy,1253,2054,Medium,0.90445,0,0.83429,0.83429,0.00243,0.90173,17.35,5.65,NA,NA,NA,NA,NA,NA
2023,Cumberland,1260,954,Small,0.94917,0.10132,0.413,0.51432,NA,0.96726,18.44,5.9,NA,NA,NA,NA,NA,NA
2023,Darlington Community,1295,890,Small,0.96553,0.08115,0.41408,0.49523,0.00787,0.96899,17.83,5.53,NA,NA,NA,NA,NA,NA
2023,Deerfield Community,1309,746,Small,0.94109,0.03035,0.22254,0.25289,0.00804,0.9596,18.72,5.67,NA,NA,NA,NA,NA,NA
2023,De Forest Area,1316,4153,Medium,0.94359,0.03026,0.16421,0.19447,0.00722,0.982,20.51,6.38,NA,NA,NA,NA,NA,NA
2023,Kettle Moraine,1376,3421,Medium,0.94634,0.026950000000000002,0.10022,0.12717,0.00146,0.97778,22.45,7.43,NA,NA,NA,NA,NA,NA
2023,Delavan-Darien,1380,1747,Medium,0.93723,0.11337,0.5471,0.66046,0.02576,0.9795,17.17,5.52,NA,NA,NA,NA,NA,NA
2023,Denmark,1407,1625,Medium,0.96284,0.04831,0.18659,0.2349,0.01354,0.97699,19.46,7.02,NA,NA,NA,NA,NA,NA
2023,De Pere,1414,4526,Medium,0.95277,0.04825,0.18201,0.23026,0.01525,0.98092,22.38,7.31,NA,NA,NA,NA,NA,NA
2023,De Soto Area,1421,455,Small,0.9432,0.06208,0.38359,0.44568,0.07912,0.66216,17.83,5.43,NA,NA,NA,NA,NA,NA
2023,Dodgeville,1428,1060,Medium,0.95517,0.07769,0.25474,0.33243,0.01981,0.97698,20.06,6.08,NA,NA,NA,NA,NA,NA
2023,Dover #1,1449,81,Small,0.94375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Drummond Area,1491,318,Small,0.91789,0,0.7673,0.7673,NA,0.92373,19.3,6.86,NA,NA,NA,NA,NA,NA
2023,Durand-Arkansaw,1499,1004,Medium,0.94119,0.08087,0.35799,0.43886,0.02789,0.96853,20.19,7.01,NA,NA,NA,NA,NA,NA
2023,Northland Pines,1526,1368,Medium,0.9373,0.08112,0.3958,0.47692,0.02193,0.96314,19.54,6.59,NA,NA,NA,NA,NA,NA
2023,East Troy Community,1540,1436,Medium,0.94197,0.05225,0.24819,0.30044,0.02368,0.98505,19.92,6.66,NA,NA,NA,NA,NA,NA
2023,Eau Claire Area,1554,10866,Large,0.92065,0.07182,0.37467,0.4465,0.02825,0.91523,20.45,6.98,NA,NA,NA,NA,NA,NA
2023,Edgar,1561,598,Small,0.94108,0.07309,0.27243,0.34551,NA,0.97191,20.57,6.98,NA,NA,NA,NA,NA,NA
2023,Edgerton,1568,1926,Medium,0.95521,0.05326,0.30217,0.35543,0.02596,0.96731,20.39,6.74,NA,NA,NA,NA,NA,NA
2023,Elcho,1582,253,Small,0.91688,0.11189,0.40559,0.51748,NA,0.95506,19.06,6.12,NA,NA,NA,NA,NA,NA
2023,Eleva-Strum,1600,613,Small,0.93631,0.07922,0.30643,0.38565,NA,0.93789,17.6,6.04,NA,NA,NA,NA,NA,NA
2023,Elkhart Lake-Glenbeulah,1631,511,Small,0.95718,0.03862,0.19919,0.2378,0.00391,0.98519,20.42,6.57,NA,NA,NA,NA,NA,NA
